Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;00 TotalNacional;Total;2020_T3;16.26
Ambos sexos;00 TotalNacional;Total;2020_T2;15.33
Ambos sexos;00 TotalNacional;Total;2020_T1;14.41
Ambos sexos;00 TotalNacional;Total;2019_T4;13.78
Ambos sexos;00 TotalNacional;Total;2019_T3;13.92
Ambos sexos;00 TotalNacional;Total;2019_T2;14.02
Ambos sexos;00 TotalNacional;Total;2019_T1;14.7
Ambos sexos;00 TotalNacional;Total;2018_T4;14.45
Ambos sexos;00 TotalNacional;Total;2018_T3;14.55
Ambos sexos;00 TotalNacional;Total;2018_T2;15.28
Ambos sexos;00 TotalNacional;Total;2018_T1;16.74
Ambos sexos;00 TotalNacional;Total;2017_T4;16.55
Ambos sexos;00 TotalNacional;Total;2017_T3;16.38
Ambos sexos;00 TotalNacional;Total;2017_T2;17.22
Ambos sexos;00 TotalNacional;Total;2017_T1;18.75
Ambos sexos;00 TotalNacional;Total;2016_T4;18.63
Ambos sexos;00 TotalNacional;Total;2016_T3;18.91
Ambos sexos;00 TotalNacional;Total;2016_T2;20
Ambos sexos;00 TotalNacional;Total;2016_T1;21
Ambos sexos;00 TotalNacional;Total;2015_T4;20.9
Ambos sexos;00 TotalNacional;Total;2015_T3;21.18
Ambos sexos;00 TotalNacional;Total;2015_T2;22.37
Ambos sexos;00 TotalNacional;Total;2015_T1;23.78
Ambos sexos;00 TotalNacional;Menores de 25 años;2020_T3;40.45
Ambos sexos;00 TotalNacional;Menores de 25 años;2020_T2;39.61
Ambos sexos;00 TotalNacional;Menores de 25 años;2020_T1;32.99
Ambos sexos;00 TotalNacional;Menores de 25 años;2019_T4;30.51
Ambos sexos;00 TotalNacional;Menores de 25 años;2019_T3;31.68
Ambos sexos;00 TotalNacional;Menores de 25 años;2019_T2;33.14
Ambos sexos;00 TotalNacional;Menores de 25 años;2019_T1;34.97
Ambos sexos;00 TotalNacional;Menores de 25 años;2018_T4;33.54
Ambos sexos;00 TotalNacional;Menores de 25 años;2018_T3;33
Ambos sexos;00 TotalNacional;Menores de 25 años;2018_T2;34.68
Ambos sexos;00 TotalNacional;Menores de 25 años;2018_T1;36.34
Ambos sexos;00 TotalNacional;Menores de 25 años;2017_T4;37.46
Ambos sexos;00 TotalNacional;Menores de 25 años;2017_T3;35.97
Ambos sexos;00 TotalNacional;Menores de 25 años;2017_T2;39.53
Ambos sexos;00 TotalNacional;Menores de 25 años;2017_T1;41.66
Ambos sexos;00 TotalNacional;Menores de 25 años;2016_T4;42.92
Ambos sexos;00 TotalNacional;Menores de 25 años;2016_T3;41.94
Ambos sexos;00 TotalNacional;Menores de 25 años;2016_T2;46.48
Ambos sexos;00 TotalNacional;Menores de 25 años;2016_T1;46.5
Ambos sexos;00 TotalNacional;Menores de 25 años;2015_T4;46.24
Ambos sexos;00 TotalNacional;Menores de 25 años;2015_T3;46.58
Ambos sexos;00 TotalNacional;Menores de 25 años;2015_T2;49.22
Ambos sexos;00 TotalNacional;Menores de 25 años;2015_T1;51.36
Ambos sexos;00 TotalNacional;25 y más años;2020_T3;14.51
Ambos sexos;00 TotalNacional;25 y más años;2020_T2;13.81
Ambos sexos;00 TotalNacional;25 y más años;2020_T1;13.14
Ambos sexos;00 TotalNacional;25 y más años;2019_T4;12.61
Ambos sexos;00 TotalNacional;25 y más años;2019_T3;12.55
Ambos sexos;00 TotalNacional;25 y más años;2019_T2;12.67
Ambos sexos;00 TotalNacional;25 y más años;2019_T1;13.31
Ambos sexos;00 TotalNacional;25 y más años;2018_T4;13.11
Ambos sexos;00 TotalNacional;25 y más años;2018_T3;13.16
Ambos sexos;00 TotalNacional;25 y más años;2018_T2;13.91
Ambos sexos;00 TotalNacional;25 y más años;2018_T1;15.44
Ambos sexos;00 TotalNacional;25 y más años;2017_T4;15.08
Ambos sexos;00 TotalNacional;25 y más años;2017_T3;14.89
Ambos sexos;00 TotalNacional;25 y más años;2017_T2;15.67
Ambos sexos;00 TotalNacional;25 y más años;2017_T1;17.22
Ambos sexos;00 TotalNacional;25 y más años;2016_T4;17
Ambos sexos;00 TotalNacional;25 y más años;2016_T3;17.24
Ambos sexos;00 TotalNacional;25 y más años;2016_T2;18.15
Ambos sexos;00 TotalNacional;25 y más años;2016_T1;19.28
Ambos sexos;00 TotalNacional;25 y más años;2015_T4;19.13
Ambos sexos;00 TotalNacional;25 y más años;2015_T3;19.22
Ambos sexos;00 TotalNacional;25 y más años;2015_T2;20.42
Ambos sexos;00 TotalNacional;25 y más años;2015_T1;21.81
Ambos sexos;00 TotalNacional;De 16 a 19 años;2020_T3;55.93
Ambos sexos;00 TotalNacional;De 16 a 19 años;2020_T2;54.5
Ambos sexos;00 TotalNacional;De 16 a 19 años;2020_T1;47.29
Ambos sexos;00 TotalNacional;De 16 a 19 años;2019_T4;43.9
Ambos sexos;00 TotalNacional;De 16 a 19 años;2019_T3;42.15
Ambos sexos;00 TotalNacional;De 16 a 19 años;2019_T2;46.26
Ambos sexos;00 TotalNacional;De 16 a 19 años;2019_T1;49.26
Ambos sexos;00 TotalNacional;De 16 a 19 años;2018_T4;46.89
Ambos sexos;00 TotalNacional;De 16 a 19 años;2018_T3;45.43
Ambos sexos;00 TotalNacional;De 16 a 19 años;2018_T2;51.64
Ambos sexos;00 TotalNacional;De 16 a 19 años;2018_T1;56.15
Ambos sexos;00 TotalNacional;De 16 a 19 años;2017_T4;54.2
Ambos sexos;00 TotalNacional;De 16 a 19 años;2017_T3;50.41
Ambos sexos;00 TotalNacional;De 16 a 19 años;2017_T2;55.98
Ambos sexos;00 TotalNacional;De 16 a 19 años;2017_T1;58.74
Ambos sexos;00 TotalNacional;De 16 a 19 años;2016_T4;58.67
