edad,geo,Fecha,valor
Y15-24,Austria,2005-01-01,11
Y15-24,Belgium,2005-01-01,21.5
Y15-24,Bulgaria,2005-01-01,22.3
Y15-24,Switzerland,2005-01-01,8.8
Y15-24,Cyprus,2005-01-01,13.9
Y15-24,Czechia,2005-01-01,19.2
Y15-24,Germany (until 1990 former territory of the FRG),2005-01-01,15.5
Y15-24,Denmark,2005-01-01,8.6
Y15-24,Euro area - 19 countries  (from 2015),2005-01-01,18.2
Y15-24,Estonia,2005-01-01,15.1
Y15-24,Greece,2005-01-01,25.8
Y15-24,Spain,2005-01-01,19.6
Y15-24,European Union - 27 countries (from 2020),2005-01-01,20.2
Y15-24,European Union - 28 countries (2013-2020),2005-01-01,18.9
Y15-24,Finland,2005-01-01,20.1
Y15-24,France,2005-01-01,20.3
Y15-24,Croatia,2005-01-01,32.3
Y15-24,Hungary,2005-01-01,19.4
Y15-24,Ireland,2005-01-01,8.6
Y15-24,Iceland,2005-01-01,7.4
Y15-24,Italy,2005-01-01,24.1
Y15-24,Lithuania,2005-01-01,15.8
Y15-24,Luxembourg,2005-01-01,13.7
Y15-24,Latvia,2005-01-01,15.1
Y15-24,Malta,2005-01-01,16.1
Y15-24,Netherlands,2005-01-01,11.8
Y15-24,Norway,2005-01-01,11.5
Y15-24,Poland,2005-01-01,36.9
Y15-24,Portugal,2005-01-01,16.2
Y15-24,Romania,2005-01-01,20.2
Y15-24,Sweden,2005-01-01,22.8
Y15-24,Slovenia,2005-01-01,15.9
Y15-24,Slovakia,2005-01-01,30.1
Y15-24,United Kingdom,2005-01-01,12.7
Y15-74,Austria,2005-01-01,5.6
Y15-74,Belgium,2005-01-01,8.5
Y15-74,Bulgaria,2005-01-01,10.1
Y15-74,Switzerland,2005-01-01,4.5
Y15-74,Cyprus,2005-01-01,5.3
Y15-74,Czechia,2005-01-01,7.9
Y15-74,Germany (until 1990 former territory of the FRG),2005-01-01,11.2
Y15-74,Denmark,2005-01-01,4.8
Y15-74,Euro area - 19 countries  (from 2015),2005-01-01,9
Y15-74,Estonia,2005-01-01,8
Y15-74,Greece,2005-01-01,10
Y15-74,Spain,2005-01-01,9.2
