geo,edad,Año,valor
Austria,Y15-24,2005,11
Belgium,Y15-24,2005,21.5
Bulgaria,Y15-24,2005,22.3
Switzerland,Y15-24,2005,8.8
Cyprus,Y15-24,2005,13.9
Czechia,Y15-24,2005,19.2
Germany (until 1990 former territory of the FRG),Y15-24,2005,15.5
Denmark,Y15-24,2005,8.6
Euro area - 19 countries  (from 2015),Y15-24,2005,18.2
Estonia,Y15-24,2005,15.1
Greece,Y15-24,2005,25.8
Spain,Y15-24,2005,19.6
European Union - 27 countries (from 2020),Y15-24,2005,20.2
European Union - 28 countries (2013-2020),Y15-24,2005,18.9
Finland,Y15-24,2005,20.1
France,Y15-24,2005,20.3
Croatia,Y15-24,2005,32.3
Hungary,Y15-24,2005,19.4
Ireland,Y15-24,2005,8.6
Iceland,Y15-24,2005,7.4
Italy,Y15-24,2005,24.1
Lithuania,Y15-24,2005,15.8
Luxembourg,Y15-24,2005,13.7
Latvia,Y15-24,2005,15.1
Malta,Y15-24,2005,16.1
Netherlands,Y15-24,2005,11.8
Norway,Y15-24,2005,11.5
Poland,Y15-24,2005,36.9
Portugal,Y15-24,2005,16.2
Romania,Y15-24,2005,20.2
Sweden,Y15-24,2005,22.8
Slovenia,Y15-24,2005,15.9
Slovakia,Y15-24,2005,30.1
United Kingdom,Y15-24,2005,12.7
Austria,Y15-74,2005,5.6
Belgium,Y15-74,2005,8.5
Bulgaria,Y15-74,2005,10.1
Switzerland,Y15-74,2005,4.5
Cyprus,Y15-74,2005,5.3
Czechia,Y15-74,2005,7.9
Germany (until 1990 former territory of the FRG),Y15-74,2005,11.2
Denmark,Y15-74,2005,4.8
Euro area - 19 countries  (from 2015),Y15-74,2005,9
Estonia,Y15-74,2005,8
Greece,Y15-74,2005,10
Spain,Y15-74,2005,9.2
European Union - 27 countries (from 2020),Y15-74,2005,9.6
European Union - 28 countries (2013-2020),Y15-74,2005,9
Finland,Y15-74,2005,8.4
France,Y15-74,2005,8.5
Croatia,Y15-74,2005,12.7
Hungary,Y15-74,2005,7.2
Ireland,Y15-74,2005,4.4
Iceland,Y15-74,2005,2.5
Italy,Y15-74,2005,7.7
Lithuania,Y15-74,2005,8.3
Luxembourg,Y15-74,2005,4.5
Latvia,Y15-74,2005,10
Malta,Y15-74,2005,6.9
Netherlands,Y15-74,2005,5.9
Norway,Y15-74,2005,4.4
Poland,Y15-74,2005,17.8
Portugal,Y15-74,2005,7.7
Romania,Y15-74,2005,7.2
Sweden,Y15-74,2005,7.8
Slovenia,Y15-74,2005,6.5
Slovakia,Y15-74,2005,16.3
United Kingdom,Y15-74,2005,4.8
Austria,Y20-64,2005,5.2
Belgium,Y20-64,2005,8.2
Bulgaria,Y20-64,2005,9.8
Switzerland,Y20-64,2005,4.3
Cyprus,Y20-64,2005,5.2
Czechia,Y20-64,2005,7.6
Germany (until 1990 former territory of the FRG),Y20-64,2005,11.2
Denmark,Y20-64,2005,4.6
Euro area - 19 countries  (from 2015),Y20-64,2005,8.8
